Iteration,Discriminator Loss,Generator Loss
3870,1.328625,0.720568
3870,1.328625,0.720568
3880,1.241839,0.643420
3880,1.241839,0.643420
3890,1.284429,0.700297
3890,1.284429,0.700297
3900,1.239940,0.593153
3900,1.239940,0.593153
3910,1.301872,0.817733
3910,1.301872,0.817733
3920,1.321011,0.626164
3920,1.321011,0.626164
3930,1.282158,0.824260
3930,1.282158,0.824260
3940,1.321974,0.661603
3940,1.321974,0.661603
3950,1.322169,0.744221
3950,1.322169,0.744221
3960,1.274537,0.666453
3960,1.274537,0.666453
3970,1.303394,0.701453
3970,1.303394,0.701453
3980,1.255360,0.606309
3980,1.255360,0.606309
3990,1.313482,0.704756
3990,1.313482,0.704756
4000,1.297553,0.694987
4000,1.297553,0.694987
4010,1.321874,0.736739
4010,1.321874,0.736739
4020,1.241060,0.823111
4020,1.241060,0.823111
4030,1.317912,0.698232
4030,1.317912,0.698232
4040,1.321816,0.666069
4040,1.321816,0.666069
4050,1.295337,0.687554
4050,1.295337,0.687554
4060,1.318925,0.684484
4060,1.318925,0.684484
4070,1.237456,0.762922
4070,1.237456,0.762922
4080,1.321931,0.724297
4080,1.321931,0.724297
4090,1.340798,0.832256
4090,1.340798,0.832256
4100,1.249453,0.715260
4100,1.249453,0.715260
4110,1.321412,0.695543
4110,1.321412,0.695543
4120,1.338373,0.690017
4120,1.338373,0.690017
4130,1.302166,0.885192
4130,1.302166,0.885192
4140,1.269846,0.595874
4140,1.269846,0.595874
4150,1.234290,0.644403
4150,1.234290,0.644403
4160,1.287772,0.737188
4160,1.287772,0.737188
4170,1.312513,0.749648
4170,1.312513,0.749648
4180,1.317995,0.683517
4180,1.317995,0.683517
4190,1.286037,0.681777
4190,1.286037,0.681777
4200,1.284397,0.675352
4200,1.284397,0.675352
4210,1.294854,0.869131
4210,1.294854,0.869131
4220,1.285899,0.773088
4220,1.285899,0.773088
4230,1.306024,0.656917
4230,1.306024,0.656917
4240,1.318602,0.659514
4240,1.318602,0.659514
4250,1.290840,0.670909
4250,1.290840,0.670909
4260,1.318766,0.669617
4260,1.318766,0.669617
4270,1.262298,0.661255
4270,1.262298,0.661255
4280,1.323655,0.668417
4280,1.323655,0.668417
4290,1.311996,0.658371
4290,1.311996,0.658371
4300,1.218532,0.577202
4300,1.218532,0.577202
4310,1.271404,0.684584
4310,1.271404,0.684584
4320,1.314038,0.685601
4320,1.314038,0.685601
4330,1.289876,0.658800
4330,1.289876,0.658800
4340,1.370466,0.645428
4340,1.370466,0.645428
4350,1.321294,0.642509
4350,1.321294,0.642509
4360,1.268663,0.646742
4360,1.268663,0.646742
4370,1.272242,0.626799
4370,1.272242,0.626799
4380,1.272386,0.560868
4380,1.272386,0.560868
4390,1.283819,0.602913
4390,1.283819,0.602913
4400,1.331116,0.682594
4400,1.331116,0.682594
4410,1.342358,0.781408
4410,1.342358,0.781408
4420,1.273642,0.702016
4420,1.273642,0.702016
4430,1.338355,0.705261
4430,1.338355,0.705261
4440,1.319961,0.661621
4440,1.319961,0.661621
4450,1.267367,0.640918
4450,1.267367,0.640918
4460,1.316214,0.659348
4460,1.316214,0.659348
4470,1.272003,0.692211
4470,1.272003,0.692211
